CMDLINE c:\anaconda\python.exe app.py
MEM 0.074219 1557763904.1384
MEM 16.285156 1557763904.2391
MEM 26.785156 1557763904.3394
MEM 36.703125 1557763904.4401
MEM 47.421875 1557763904.5409
MEM 47.421875 1557763904.6416
MEM 47.421875 1557763904.7423
MEM 47.421875 1557763904.8431
MEM 47.511719 1557763904.9438
MEM 49.238281 1557763905.0445
MEM 56.710938 1557763905.1522
MEM 64.402344 1557763905.2530
MEM 67.527344 1557763905.3537
MEM 68.144531 1557763905.4544
MEM 79.160156 1557763905.5551
MEM 88.164062 1557763905.6555
MEM 96.207031 1557763905.7562
MEM 96.792969 1557763905.8570
MEM 96.796875 1557763905.9577
MEM 97.472656 1557763906.0585
MEM 114.296875 1557763906.1592
MEM 127.406250 1557763906.2599
MEM 134.664062 1557763906.3606
MEM 138.351562 1557763906.4614
MEM 147.375000 1557763906.5621
MEM 155.957031 1557763906.6628
MEM 161.304688 1557763906.7636
MEM 163.324219 1557763906.8643
MEM 169.753906 1557763906.9650
MEM 181.085938 1557763907.0657
MEM 188.835938 1557763907.1665
MEM 198.582031 1557763907.2672
MEM 212.156250 1557763907.3680
MEM 297.390625 1557763907.4687
MEM 356.406250 1557763907.5694
MEM 333.453125 1557763907.6702
MEM 351.757812 1557763907.7709
MEM 369.687500 1557763907.8716
MEM 385.949219 1557763907.9723
MEM 394.761719 1557763908.0730
MEM 402.988281 1557763908.1738
MEM 429.242188 1557763908.2745
MEM 437.820312 1557763908.3753
MEM 459.925781 1557763908.4760
MEM 467.671875 1557763908.5767
MEM 475.480469 1557763908.6774
MEM 482.808594 1557763908.7782
MEM 490.378906 1557763908.8789
MEM 534.406250 1557763908.9797
MEM 541.964844 1557763909.0804
MEM 549.863281 1557763909.1811
MEM 557.968750 1557763909.2818
MEM 565.945312 1557763909.3825
MEM 635.640625 1557763909.4833
MEM 610.347656 1557763909.5840
MEM 617.847656 1557763909.6847
MEM 625.578125 1557763909.7855
MEM 548.042969 1557763909.8862
MEM 661.417969 1557763909.9870
MEM 675.160156 1557763910.0877
MEM 682.792969 1557763910.1884
MEM 698.355469 1557763910.2891
MEM 705.605469 1557763910.3899
MEM 720.042969 1557763910.4906
MEM 736.230469 1557763910.5913
MEM 743.542969 1557763910.6920
MEM 750.605469 1557763910.7928
MEM 757.792969 1557763910.8935
MEM 764.980469 1557763910.9942
MEM 786.605469 1557763911.0950
MEM 813.531250 1557763911.1957
MEM 818.980469 1557763911.2965
MEM 826.355469 1557763911.3972
MEM 833.542969 1557763911.4979
MEM 840.730469 1557763911.5987
MEM 847.605469 1557763911.6994
MEM 854.542969 1557763911.8001
MEM 861.656250 1557763911.9008
MEM 868.902344 1557763912.0016
MEM 876.144531 1557763912.1023
MEM 899.292969 1557763912.2030
MEM 919.480469 1557763912.3037
MEM 841.007812 1557763912.4045
MEM 845.695312 1557763912.5052
MEM 847.398438 1557763912.6059
MEM 851.523438 1557763912.7067
MEM 853.148438 1557763912.8074
MEM 859.585938 1557763912.9081
MEM 861.273438 1557763913.0089
MEM 862.898438 1557763913.1096
MEM 864.523438 1557763913.2103
MEM 866.148438 1557763913.3111
MEM 877.585938 1557763913.4118
MEM 879.171875 1557763913.5125
MEM 880.835938 1557763913.6132
MEM 882.417969 1557763913.7140
MEM 884.085938 1557763913.8147
MEM 885.585938 1557763913.9155
MEM 887.148438 1557763914.0162
MEM 888.835938 1557763914.1169
MEM 890.402344 1557763914.2177
MEM 892.023438 1557763914.3184
MEM 877.335938 1557763914.4191
MEM 877.335938 1557763914.5198
MEM 877.335938 1557763914.6206
MEM 877.335938 1557763914.7213
MEM 877.335938 1557763914.8220
MEM 877.335938 1557763914.9227
MEM 877.335938 1557763915.0235
MEM 877.335938 1557763915.1242
MEM 877.335938 1557763915.2250
MEM 877.335938 1557763915.3257
MEM 877.335938 1557763915.4264
MEM 877.335938 1557763915.5271
MEM 877.335938 1557763915.6279
MEM 877.335938 1557763915.7286
MEM 877.335938 1557763915.8293
MEM 877.335938 1557763915.9301
MEM 877.335938 1557763916.0308
MEM 877.335938 1557763916.1315
MEM 877.335938 1557763916.2322
MEM 877.335938 1557763916.3330
MEM 877.335938 1557763916.4337
MEM 877.335938 1557763916.5345
MEM 877.335938 1557763916.6352
MEM 877.335938 1557763916.7359
MEM 877.335938 1557763916.8366
MEM 877.335938 1557763916.9374
MEM 877.347656 1557763917.0381
MEM 877.347656 1557763917.1388
MEM 877.347656 1557763917.2395
MEM 877.347656 1557763917.3403
MEM 877.347656 1557763917.4410
MEM 877.347656 1557763917.5417
MEM 877.347656 1557763917.6425
MEM 877.347656 1557763917.7432
MEM 877.347656 1557763917.8439
MEM 877.347656 1557763917.9447
MEM 877.347656 1557763918.0454
MEM 877.347656 1557763918.1461
MEM 877.347656 1557763918.2469
MEM 877.347656 1557763918.3476
MEM 877.347656 1557763918.4483
MEM 877.347656 1557763918.5490
MEM 877.347656 1557763918.6498
MEM 877.347656 1557763918.7505
MEM 877.347656 1557763918.8513
MEM 877.347656 1557763918.9520
MEM 877.347656 1557763919.0527
MEM 877.347656 1557763919.1535
MEM 877.347656 1557763919.2542
MEM 877.347656 1557763919.3549
MEM 877.347656 1557763919.4556
MEM 877.347656 1557763919.5564
MEM 878.945312 1557763919.6571
MEM 893.503906 1557763919.7578
MEM 895.519531 1557763919.8585
MEM 896.566406 1557763919.9613
MEM 900.308594 1557763920.0620
MEM 903.503906 1557763920.1627
MEM 903.535156 1557763920.2635
MEM 903.613281 1557763920.3642
MEM 903.667969 1557763920.4649
MEM 903.671875 1557763920.5657
MEM 903.734375 1557763920.6664
MEM 903.800781 1557763920.7671
MEM 903.863281 1557763920.8678
MEM 903.925781 1557763920.9686
MEM 903.957031 1557763921.0693
MEM 909.414062 1557763921.1700
MEM 910.058594 1557763921.2708
MEM 910.058594 1557763921.3715
MEM 910.058594 1557763921.4722
MEM 910.058594 1557763921.5740
MEM 910.058594 1557763921.6747
MEM 910.062500 1557763921.7754
MEM 910.062500 1557763921.8762
MEM 910.164062 1557763921.9769
MEM 944.578125 1557763922.0771
MEM 1007.835938 1557763922.1778
MEM 1016.125000 1557763922.2786
MEM 1039.488281 1557763922.3793
MEM 1050.488281 1557763922.4801
MEM 1068.070312 1557763922.5808
MEM 1083.503906 1557763922.6815
MEM 1092.027344 1557763922.7822
MEM 1099.863281 1557763922.8830
MEM 1126.046875 1557763922.9837
MEM 1134.214844 1557763923.0844
MEM 1156.933594 1557763923.1851
MEM 1164.761719 1557763923.2859
MEM 1172.765625 1557763923.3866
MEM 1180.468750 1557763923.4873
MEM 1187.730469 1557763923.5881
MEM 1231.238281 1557763923.6888
MEM 1238.324219 1557763923.7895
MEM 1245.960938 1557763923.8903
MEM 1254.261719 1557763923.9910
MEM 1262.328125 1557763924.0917
MEM 1332.363281 1557763924.1924
MEM 1306.933594 1557763924.2932
MEM 1314.554688 1557763924.3939
MEM 1322.351562 1557763924.4946
MEM 1244.636719 1557763924.5954
MEM 1357.886719 1557763924.6961
MEM 1368.574219 1557763924.7968
MEM 1374.136719 1557763924.8976
MEM 1378.136719 1557763924.9983
MEM 1392.136719 1557763925.1000
MEM 1398.011719 1557763925.2008
MEM 1404.574219 1557763925.3015
MEM 1417.386719 1557763925.4022
MEM 1433.417969 1557763925.5029
MEM 1440.898438 1557763925.6037
MEM 1448.011719 1557763925.7044
MEM 1454.289062 1557763925.8051
MEM 1460.511719 1557763925.9059
MEM 1481.824219 1557763926.0066
MEM 1488.324219 1557763926.1074
MEM 1512.886719 1557763926.2081
MEM 1520.386719 1557763926.3088
MEM 1526.906250 1557763926.4095
MEM 1534.074219 1557763926.5103
MEM 1541.074219 1557763926.6110
MEM 1548.011719 1557763926.7117
MEM 1554.937500 1557763926.8124
MEM 1561.644531 1557763926.9132
MEM 1568.136719 1557763927.0139
MEM 1575.074219 1557763927.1147
MEM 1643.578125 1557763927.2154
MEM 1616.824219 1557763927.3161
MEM 1537.761719 1557763927.4168
MEM 1540.890625 1557763927.5176
MEM 1543.640625 1557763927.6183
MEM 1547.640625 1557763927.7191
MEM 1549.140625 1557763927.8198
MEM 1550.640625 1557763927.9205
MEM 1557.078125 1557763928.0212
MEM 1558.578125 1557763928.1219
MEM 1560.078125 1557763928.2227
MEM 1561.640625 1557763928.3234
MEM 1563.148438 1557763928.4242
MEM 1574.328125 1557763928.5249
MEM 1575.578125 1557763928.6256
MEM 1577.078125 1557763928.7263
MEM 1578.578125 1557763928.8271
MEM 1580.015625 1557763928.9278
MEM 1581.515625 1557763929.0285
MEM 1583.015625 1557763929.1293
MEM 1584.445312 1557763929.2300
MEM 1586.015625 1557763929.3307
MEM 1587.515625 1557763929.4315
MEM 1589.015625 1557763929.5322
MEM 1573.945312 1557763929.6329
MEM 1573.945312 1557763929.7337
MEM 1573.945312 1557763929.8344
MEM 1573.945312 1557763929.9351
MEM 1573.945312 1557763930.0359
MEM 1573.945312 1557763930.1366
MEM 1573.945312 1557763930.2373
MEM 1573.945312 1557763930.3381
MEM 1573.945312 1557763930.4388
MEM 1573.945312 1557763930.5395
MEM 1573.945312 1557763930.6402
MEM 1573.945312 1557763930.7410
MEM 1573.945312 1557763930.8417
MEM 1573.945312 1557763930.9424
MEM 1573.945312 1557763931.0431
MEM 1573.945312 1557763931.1439
MEM 1573.945312 1557763931.2646
MEM 1573.945312 1557763931.3647
MEM 1573.945312 1557763931.4654
MEM 1573.945312 1557763931.5661
MEM 1573.945312 1557763931.6668
MEM 1573.945312 1557763931.7676
MEM 1573.945312 1557763931.8683
MEM 1573.945312 1557763931.9690
MEM 1573.945312 1557763932.0697
MEM 1573.945312 1557763932.1705
MEM 1573.945312 1557763932.2712
MEM 1573.945312 1557763932.3719
MEM 1573.945312 1557763932.4727
MEM 1573.945312 1557763932.5734
MEM 1573.945312 1557763932.6741
MEM 1573.945312 1557763932.7749
MEM 1573.945312 1557763932.8756
MEM 1573.945312 1557763932.9763
MEM 1573.945312 1557763933.0770
MEM 1573.945312 1557763933.1778
MEM 1573.945312 1557763933.2785
MEM 1573.945312 1557763933.3792
MEM 1573.945312 1557763933.4800
MEM 1573.945312 1557763933.5807
MEM 1573.945312 1557763933.6815
MEM 1573.945312 1557763933.7822
MEM 1573.945312 1557763933.8829
MEM 1573.945312 1557763933.9836
MEM 1573.945312 1557763934.0844
MEM 1573.988281 1557763934.1851
MEM 1573.988281 1557763934.2858
