"<built-in function id>","2019-05-16 20:31:22","Please write a valid comment.","//a","fehlerfrei"
"0","2019-05-16 20:36:22","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
Which types of comments does Java support?
1. One-line Comments
2. Java-Docs
3. Comments for Variables
4. executable Comments
","1","fehlerfrei"
"<built-in function id>","2019-05-16 20:39:05","Please write a valid comment.","//comment","fehlerfrei"
"<built-in function id>","2019-05-16 20:39:23","Please write a literal.","2","fehlerfrei"
"<built-in function id>","2019-05-16 20:39:35","Please write an integer literal.","2a","[['basics', u'integer_literals', u'basics', u'integer_literals'], u'This is not a valid decimal integer literal. It cannot contain non-digits: <b>a</b>', 'integer_literals_non_decimal']"
"0","2019-05-16 21:13:20","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
Which types of comments does Java support?
1. One-line Comments
2. Java-Docs
3. Comments for Variables
4. executable Comments
","1","fehlerfrei"
"0","2019-05-16 21:15:14","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
Which types of comments does Java support?
1. One-line Comments
2. Java-Docs
3. Comments for Variables
4. executable Comments
","1","fehlerfrei"
"0","2019-05-16 21:15:50","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
Which types of comments does Java support?
1. One-line Comments
2. Java-Docs
3. Comments for Variables
4. executable Comments
","1","fehlerfrei"
"0","2019-05-16 21:19:13","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
Which types of comments does Java support?
1. One-line Comments
2. Java-Docs
3. Comments for Variables
4. executable Comments
","1","fehlerfrei"
"0","2019-05-16 21:22:22","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
Which types of comments does Java support?
1. One-line Comments
2. Java-Docs
3. Comments for Variables
4. executable Comments
","1","fehlerfrei"
"0","2019-05-16 21:25:20","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
Which types of comments does Java support?
1. One-line Comments
2. Java-Docs
3. Comments for Variables
4. executable Comments
","1","fehlerfrei"
"0","2019-05-16 22:03:23","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
Which types of comments does Java support?
1. One-line Comments
2. Java-Docs
3. Comments for Variables
4. executable Comments
","1","fehlerfrei"
"0","2019-05-16 22:12:22","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
Which types of comments does Java support?
1. One-line Comments
2. Java-Docs
3. Comments for Variables
4. executable Comments
","1","fehlerfrei"
"<built-in function id>","2019-05-17 04:02:02","Please write a valid comment.","/*a","[['basics', u'comments', u'basics', u'comments'], u'This is not a valid comment. This does not contain /**/ or //: <b>/*a</b>', 'comments_non']"
"<built-in function id>","2019-05-17 04:04:08","Please write a valid main-method.","public static void main(String a[]){}","fehlerfrei"
